text,label
I didnt feel humiliated,0
I can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0
I am grabbing a minute to post I feel greedy wrong,3
I am ever feeling nostalgic about the fireplace I will know that it is still on the property,2
I am feeling grouchy,3
I have been feeling a little burdened lately wasnt sure why that was,0
I have been taking or milligrams or times recommended amount and I have fallen asleep a lot faster but I also feel like so funny,5
I feel as confused about life as a teenager or as jaded as a year old man,4
I have been with petronas for years I feel that petronas has performed well and made a huge profit,1
I feel romantic too,2
I feel like I have to make the suffering I m seeing mean something,0
I do feel that running is a divine experience and that I can expect to have some type of spiritual encounter,1
I think it is the easiest time of year to feel dissatisfied,3
I feel low energy I m just thirsty,0
I have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1
I do not feel reassured anxiety is on each side,1
I didnt really feel that embarrassed,0
I feel pretty pathetic most of the time,0
I started feeling sentimental about dolls I had as a child and so began a collection of vintage barbie dolls from the sixties,0
I now feel compromised and skeptical of the value of every unit of work I put in,4
I feel irritated and rejected without anyone doing anything or saying anything,3
I am feeling completely overwhelmed I have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things I am most grateful for,4
I have the feeling she was amused and delighted,1
I was able to help chai lifeline with your support and encouragement is a great feeling and I am so glad you were able to help me,1
I already feel like I fucked up though because I dont usually eat at all in the morning,3
I still love my so and wish the best for him I can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0
I feel so inhibited in someone elses kitchen like I am painting on someone elses picture,0
I become overwhelmed and feel defeated,0
I feel kind of appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3
I feel more superior dead chicken or grieving child,1
I get giddy over feeling elegant in a perfectly fitted pencil skirt,1
I remember feeling acutely distressed for a few days,4
I have seen heard and read over the past couple of days I am left feeling impressed by more than a few companies,5
I climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3
I cannot imagine a real life scenario where I would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex will not be expected subsequently,1
I am not sure what would make me feel content if anything,1
I have been feeling the need to be creative,1
I do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1
I feel a bit rude writing to an elderly gentleman to ask for gifts because I feel a bit greedy but what is christmas about if not mild greed,3
I need you I need someone I need to be protected and feel safe I am small now I find myself in a season of no words,1
I plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1
I already have my christmas trees up I got two and am feeling festive which I m sure is spurring me to get started on this book,1
I have worn it once on its own with a little concealer and for the days I am feeling brave but dont want to be pale then its perfect,1
I feel very strongly passionate about when some jerk off decides to poke and make fun of us,1
I was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0
I was feeling listless from the need of new things something different,0
I lost my special mind but do not worry I m still sane I just wanted you to feel what I felt while reading this book I do not know how many times it was said that sam was special but I can guarantee you it was many more times than what I used in that paragraph did I tell you she was special,1
I cannot let go of that sad feeling that I want to be accepted here in this first home of mine,2
on a boat trip to denmark,1
I stopped feeling cold and began feeling hot,3
I need to feel the dough to make sure its just perfect,1
I found myself feeling a little discouraged that morning,0
I feel selfish and spoiled,3
I was stymied a little bit as I wrote feeling unsure that I might go somewhere with the story unintended,4
I bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1
I feel you know basically like a fake in the realm of science fiction,0
I hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here I think he feels that he needs to make me feel as unwelcome as possible so ill leave,0
I keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,5
I have this feeling that if I have anymore vigorous sexual activity in the coming yes I misspelt that as cumming days parts of me will begin to fall off,1
I feel my mom s graceful warm loving smile as I rob the time to nurture myself and heal,1
I feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1
I ate I could feel a gentle tingle throughout almost as if I was feeling the healing taking place at a cellular level,2
I feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4
I began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4
I am now nearly finished the week detox and I feel amazing,5
I feel selfish as I read back to my former posts how I have never asked for prayers for others how I never considered that there may be others out there that deserve their prayers answered before my own,3
I know the pain parents feel when an enraged child becomes violent,3
I have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0
I suppose my own truth needs to be shared I havent been feeling very faithful lately I have dwelled more in doubt and uncertainty than I have in faith,2
I was feeling brave when I bought it and clearly when I was doing my makeup,1
I am feeling miserable but c I am also the proudest mum on earth,0
